,name,year,predicted_price,kilo_driven,fuel_type,company
0,Maruti 800 AC,2010,94347.83,70000,Petrol,Maruti
1,Maruti Wagon R LXI Minor,2010,144416.67,50000,Petrol,Maruti
2,Hyundai Verna 1.6 SX,2015,490666.4,100000,Diesel,Hyundai
3,Datsun RediGO T Option,2020,229999.86,46000,Petrol,Datsun
4,Honda Amaze VX i-DTEC,2017,530555.56,141000,Diesel,Honda
5,Maruti Alto LX BSIII,2010,117500.0,125000,Petrol,Maruti
6,Hyundai Xcent 1.2 Kappa S,2019,430000.0,25000,Petrol,Hyundai
7,Tata Indigo Grand Petrol,2017,245000.0,60000,Petrol,Tata
8,Hyundai Creta 1.6 VTVT S,2018,862500.0,25000,Petrol,Hyundai
9,Maruti Celerio Green VXI,2020,365000.0,78000,CNG,Maruti
10,Chevrolet Sail 1.2 Base,2018,248000.0,35000,Petrol,Chevrolet
11,Toyota Corolla Altis 1.8 VL CVT,2021,1650000.0,25000,Petrol,Toyota
12,Maruti Ciaz VXi Plus,2018,585000.0,24000,Petrol,Maruti
13,Hyundai Venue SX Opt Diesel,2022,1097500.0,5000,Diesel,Hyundai
14,Chevrolet Enjoy TCDi LTZ 7 Seater,2016,390000.0,33000,Diesel,Chevrolet
15,Jaguar XF 2.2 Litre Luxury,2017,1964999.0,28000,Diesel,Jaguar
16,Mercedes-Benz New C-Class 220 CDI AT,2016,1462500.0,59000,Diesel,Mercedes-Benz
17,Maruti Vitara Brezza ZDi Plus AMT,2021,887500.0,4500,Diesel,Maruti
18,Audi Q5 2.0 TDI,2014,2013333.33,175900,Diesel,Audi
19,Honda City V MT,2021,815000.0,14500,Petrol,Honda
20,Tata Tigor 1.2 Revotron XT,2021,478333.0,15000,Petrol,Tata
21,Audi A6 2.0 TDI  Design Edition,2016,1745000.0,50000,Diesel,Audi
22,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,1375000.0,33800,Diesel,Mercedes-Benz
23,Skoda Superb Ambition 2.0 TDI CR AT,2014,600000.0,130400,Diesel,Skoda
24,Toyota Corolla Altis G AT,2019,900000.0,50000,Petrol,Toyota
25,Toyota Innova 2.5 G (Diesel) 7 Seater,2018,846999.9,80000,Diesel,Toyota
26,Jeep Compass 1.4 Sport Plus BSIV,2022,1400000.0,10000,Petrol,Jeep
27,Mercedes-Benz E-Class E 200 CGI Elegance,2013,850000.0,119000,Petrol,Mercedes-Benz
28,Hyundai i10 Magna 1.1L,2017,262499.5,60000,Petrol,Hyundai
29,BMW 3 Series 320d Sport Line,2016,1550000.0,75800,Diesel,BMW
30,Audi Q7 35 TDI Quattro Premium,2012,1250000.0,78000,Diesel,Audi
31,Hyundai Elantra CRDi S,2015,637500.0,40000,Diesel,Hyundai
32,Mahindra Scorpio 1.99 S10,2017,760000.0,50000,Diesel,Mahindra
33,Honda City i DTEC V,2017,537500.0,74000,Diesel,Honda
34,Maruti Wagon R VXI BS IV with ABS,2017,259999.5,64000,Petrol,Maruti
35,Maruti Wagon R VXI BS IV,2015,305344.79,60000,Petrol,Maruti
36,Mahindra Scorpio LX,2012,493200.0,120000,Diesel,Mahindra
37,Hyundai Santro Xing GLS,2012,184857.14,79000,Petrol,Hyundai
38,Hyundai Grand i10 1.2 Kappa Asta,2022,510416.67,15000,Petrol,Hyundai
39,Maruti Alto LXi,2009,123553.17,80000,Petrol,Maruti
40,Maruti Swift Dzire VDI Optional,2020,722500.0,18500,Diesel,Maruti
41,Maruti Eeco 5 Seater AC BSIV,2021,346222.22,10200,Petrol,Maruti
42,Hyundai i20 Sportz 1.4 CRDi,2021,532500.0,29000,Diesel,Hyundai
43,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2021,310000.0,28000,Petrol,Maruti
44,Maruti Swift ZDi BSIV,2019,552500.0,46000,Diesel,Maruti
45,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2017,465000.0,70000,Diesel,Hyundai
46,Mahindra Jeep CL 500 MDI,1999,200000.0,35000,Diesel,Mahindra
47,Honda City i DTEC VX,2017,640000.0,90000,Diesel,Honda
48,Tata Indica DLS,2008,64500.0,80000,Diesel,Tata
49,Hyundai EON Magna Plus,2017,256874.83,73300,Petrol,Hyundai
50,Toyota Etios GD,2017,433571.29,92000,Diesel,Toyota
51,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2013,280000.0,350000,Diesel,Chevrolet
52,Toyota Corolla Altis Diesel D4DG,2014,300000.0,230000,Diesel,Toyota
53,Mahindra Scorpio 1.99 S6 Plus,2020,735000.0,60000,Diesel,Mahindra
54,Tata Indigo Classic Dicor,2010,157500.0,39000,Diesel,Tata
55,Toyota Innova 2.5 V Diesel 8-seater,2012,530000.0,120000,Diesel,Toyota
56,Tata Indica Vista Quadrajet LS,2017,170714.14,166000,Diesel,Tata
57,Maruti Swift 1.3 VXi,2009,165727.27,110000,Petrol,Maruti
58,Ford EcoSport 1.5 Diesel Titanium BSIV,2020,830000.0,35000,Diesel,Ford
59,Maruti Ciaz 1.3 Delta,2021,750000.0,60000,Diesel,Maruti
60,Honda Civic 1.8 V AT,2010,225000.0,54000,Petrol,Honda
61,Hyundai i10 Sportz 1.2,2013,206300.0,63000,Petrol,Hyundai
62,Skoda Rapid 1.5 TDI Elegance,2017,450000.0,120000,Diesel,Skoda
63,Hyundai Getz GLS,2008,168750.0,120000,Petrol,Hyundai
64,Nissan Terrano XL,2017,650000.0,76000,Petrol,Nissan
65,Hyundai Grand i10 CRDi Sportz,2018,394166.5,80000,Diesel,Hyundai
66,Hyundai Elite i20 Diesel Era,2022,650000.0,25000,Diesel,Hyundai
67,Honda Amaze S i-VTEC,2019,495000.0,11958,Petrol,Honda
68,Honda Brio S MT,2018,306833.33,20000,Petrol,Honda
69,Hyundai Creta 1.6 SX Option,2020,1083333.33,9000,Petrol,Hyundai
70,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2020,8150000.0,6500,Diesel,Mercedes-Benz
71,Mahindra XUV500 W8 2WD,2018,705136.36,70000,Diesel,Mahindra
72,Renault Duster 85PS Diesel RxL Optional,2016,490750.0,120000,Diesel,Renault
73,Hyundai Santro Xing XO,2010,80000.0,58000,Petrol,Hyundai
74,Mahindra Bolero 2011-2019 SLE,2016,325000.0,62200,Diesel,Mahindra
75,Audi A6 2.0 TDI Premium Plus,2017,1326153.85,34000,Diesel,Audi
76,Fiat Avventura MULTIJET Emotion,2018,350000.0,53000,Diesel,Fiat
77,Audi A8 4.2 TDI,2016,2800000.0,49000,Diesel,Audi
78,Datsun RediGO 1.0 S,2020,223333.33,15000,Petrol,Datsun
79,Volkswagen Jetta 1.4 TSI Comfortline,2016,612333.0,50000,Petrol,Volkswagen
80,Audi A4 2.0 TDI 177 Bhp Premium Plus,2016,1150000.0,53000,Diesel,Audi
81,Mercedes-Benz E-Class Exclusive E 200 BSIV,2021,4500000.0,9800,Petrol,Mercedes-Benz
82,BMW X1 sDrive 20d xLine,2020,2620000.0,13000,Diesel,BMW
83,Volvo V40 D3 R Design,2021,1975000.0,21000,Diesel,Volvo
84,Maruti SX4 Zxi BSIII,2011,228333.33,29173,Petrol,Maruti
85,BMW 7 Series 730Ld,2015,1575000.0,48000,Diesel,BMW
86,Mahindra Bolero Power Plus SLX,2020,674076.92,120000,Diesel,Mahindra
87,Hyundai Sonata CRDi M/T,2013,600000.0,100000,Diesel,Hyundai
88,Nissan Micra Active XV Petrol,2020,399000.0,30000,Petrol,Nissan
89,Mahindra Xylo D4,2021,550714.29,87000,Diesel,Mahindra
90,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2022,675000.0,15000,Petrol,Hyundai
91,Renault KWID RXT,2020,278333.33,16000,Petrol,Renault
92,Mahindra Xylo E4 BS III,2015,600000.0,60000,Diesel,Mahindra
93,Maruti SX4 ZXI MT BSIV,2014,236666.67,110000,Petrol,Maruti
94,Hyundai Creta 1.4 CRDi S,2019,780000.0,60000,Diesel,Hyundai
95,Maruti Swift Dzire VDI,2017,511463.74,79350,Diesel,Maruti
96,Hyundai Verna 1.6 VTVT AT S Option,2019,730000.0,80000,Petrol,Hyundai
97,Mahindra Scorpio LX BSIV,2017,452000.0,90000,Diesel,Mahindra
98,Maruti SX4 Vxi BSIII,2010,110000.0,90000,Petrol,Maruti
99,Maruti Ertiga VDI,2017,543333.17,120000,Diesel,Maruti
100,Chevrolet Beat Diesel,2016,161250.0,60000,Diesel,Chevrolet
101,Maruti Zen LX,2007,72636.36,50000,Petrol,Maruti
102,Maruti Baleno Delta 1.2,2021,565666.67,20000,Petrol,Maruti
103,Maruti Swift Vdi BSIII,2010,226666.58,110000,Diesel,Maruti
104,Tata Nano Lx BSIV,2015,74000.0,50000,Petrol,Tata
105,Toyota Innova 2.5 GX (Diesel) 8 Seater,2015,500000.0,100000,Diesel,Toyota
106,Maruti Ertiga SHVS VDI,2019,738500.0,70000,Diesel,Maruti
107,Hyundai Creta 1.6 CRDi SX,2019,694157.84,70000,Diesel,Hyundai
108,Honda Amaze S i-Vtech,2019,476666.67,50000,Petrol,Honda
109,Tata Indica Vista Aqua 1.4 TDI,2013,115714.29,81000,Diesel,Tata
110,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2015,400000.0,120000,Diesel,Chevrolet
111,Chevrolet Cruze LTZ,2018,502222.22,3600,Diesel,Chevrolet
112,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,540000.0,14272,Petrol,Ford
113,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2020,813888.89,49213,Diesel,Ford
114,Hyundai i10 Sportz 1.1L,2018,288999.6,40000,Petrol,Hyundai
115,Maruti 800 Std,2001,85041.67,40000,Petrol,Maruti
116,Chevrolet Spark 1.0 LS,2015,133200.0,80000,Petrol,Chevrolet
117,Hyundai EON Era Plus,2018,245542.86,70000,Petrol,Hyundai
118,Tata Indica Vista Aqua TDI BSIII,2014,118333.33,70000,Diesel,Tata
119,Hyundai Santro LP zipPlus,2006,66800.0,57000,Petrol,Hyundai
120,Tata Bolt Quadrajet XE,2019,280000.0,120000,Diesel,Tata
121,Maruti 800 AC BSIII,2008,89000.0,30000,Petrol,Maruti
122,Hyundai i20 Magna 1.2,2018,576000.0,5000,Petrol,Hyundai
123,Hyundai i20 1.2 Asta,2021,511500.0,10000,Petrol,Hyundai
124,Maruti Ciaz VDi Plus,2018,592500.0,100000,Diesel,Maruti
125,Hyundai i20 Asta 1.4 CRDi,2019,429090.91,80000,Diesel,Hyundai
126,Hyundai Santro LE,2005,65000.0,70000,Petrol,Hyundai
127,Maruti Vitara Brezza VDi,2021,757250.0,35000,Diesel,Maruti
128,Hyundai Santro Xing XL eRLX Euro III,2010,107856.86,114000,Petrol,Hyundai
129,Hyundai Getz 1.3 GLS,2011,156666.67,53772,Petrol,Hyundai
130,Mahindra Quanto C8,2015,290000.0,140000,Diesel,Mahindra
131,Chevrolet Tavera Neo 3 LS 7 C BSIII,2018,400000.0,120000,Diesel,Chevrolet
132,Maruti Wagon R DUO LPG,2017,210000.0,90000,LPG,Maruti
133,Maruti Wagon R LXI,2023,143608.7,120000,Petrol,Maruti
134,Chevrolet Enjoy 1.3 TCDi LS 8,2018,383333.33,175000,Diesel,Chevrolet
135,Honda City i VTEC SV,2017,620000.0,36000,Petrol,Honda
136,Jaguar XJ 5.0 L V8 Supercharged,2013,2550000.0,40000,Petrol,Jaguar
137,Honda Brio E MT,2016,280000.0,70000,Petrol,Honda
138,Maruti Swift VVT ZXI,2020,550000.0,60000,Petrol,Maruti
139,Tata Indigo CR4,2014,162916.67,155500,Diesel,Tata
140,Hyundai i10 Asta AT,2014,350000.0,50000,Petrol,Hyundai
141,Chevrolet Beat LT,2019,180083.17,40000,Petrol,Chevrolet
142,Maruti Swift VDI BSIV,2018,448724.1,100000,Diesel,Maruti
143,Renault Duster 110PS Diesel RxZ,2016,494999.78,90000,Diesel,Renault
144,Hyundai Santro Xing XG,2009,86666.67,110000,Petrol,Hyundai
145,Maruti Swift Dzire ZXI Plus,2022,805000.0,15000,Petrol,Maruti
146,Maruti Alto K10 LXI CNG,2023,282000.0,40000,CNG,Maruti
147,Maruti 800 Std BSII,2007,86666.67,60000,Petrol,Maruti
148,Tata Nano LX SE,2016,67333.33,25000,Petrol,Tata
149,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2018,640000.0,23000,Petrol,Skoda
150,Maruti Alto K10 VXI,2021,296999.95,22155,Petrol,Maruti
151,Maruti Ciaz 1.4 Delta,2021,650000.0,70000,Petrol,Maruti
152,Maruti Alto LX,2012,115171.37,60000,Petrol,Maruti
153,Hyundai i20 Asta,2012,271250.0,110000,Petrol,Hyundai
154,Tata Nexon 1.2 Revotron XM,2021,500000.0,30000,Petrol,Tata
155,Maruti Zen D,2006,75000.0,100000,Diesel,Maruti
