"id","company","car_model","year","fuel_type","kilo_driven","predicted_price"
"1","Honda","Honda Amaze 1.2",2019,"Petrol",8000,"557945.87"
"2","Ford","Ford EcoSport Titanium",2015,"Petrol",170000,"249405.84"
"3","Maruti","Maruti Suzuki Dzire",2015,"Petrol",100000,"233701.08"
"4","Hyundai","Hyundai Creta 1.6",2020,"Petrol",30000,"957310.39"
"5","Tata","Tata Tiago Revotorq",2018,"Diesel",50000,"231273.99"
"6","Honda","Honda City",2011,"Petrol",102000,"175226.54"
"7","Chevrolet","Chevrolet Cruze LTZ",2014,"Petrol",40000,"106429.93"
"8","Chevrolet","Chevrolet Cruze LTZ",2014,"Petrol",57000,"106429.93"
"9","Datsun","Datsun Redi GO",2018,"LPG",3415135,"341859.19"
"10","Maruti","Maruti 800 AC",2010,"Petrol",70000,"94347.83"
"11","Maruti","Maruti Wagon R LXI Minor",2010,"Petrol",50000,"144416.67"
"12","Hyundai","Hyundai Verna 1.6 SX",2015,"Diesel",100000,"490666.40"
"13","Datsun","Datsun RediGO T Option",2020,"Petrol",46000,"229999.86"
"14","Honda","Honda Amaze VX i-DTEC",2017,"Diesel",141000,"530555.56"
"15","Maruti","Maruti Alto LX BSIII",2010,"Petrol",125000,"117500.00"
"16","Hyundai","Hyundai Xcent 1.2 Kappa S",2019,"Petrol",25000,"430000.00"
"17","Tata","Tata Indigo Grand Petrol",2017,"Petrol",60000,"245000.00"
"18","Hyundai","Hyundai Creta 1.6 VTVT S",2018,"Petrol",25000,"862500.00"
"19","Maruti","Maruti Celerio Green VXI",2020,"CNG",78000,"365000.00"
"20","Chevrolet","Chevrolet Sail 1.2 Base",2018,"Petrol",35000,"248000.00"
"21","Toyota","Toyota Corolla Altis 1.8 VL CVT",2021,"Petrol",25000,"1650000.00"
"22","Maruti","Maruti Ciaz VXi Plus",2018,"Petrol",24000,"585000.00"
"23","Hyundai","Hyundai Venue SX Opt Diesel",2022,"Diesel",5000,"1097500.00"
"24","Chevrolet","Chevrolet Enjoy TCDi LTZ 7 Seater",2016,"Diesel",33000,"390000.00"
"25","Jaguar","Jaguar XF 2.2 Litre Luxury",2017,"Diesel",28000,"1964999.00"
"26","Mercedes-Benz","Mercedes-Benz New C-Class 220 CDI AT",2016,"Diesel",59000,"1462500.00"
"27","Maruti","Maruti Vitara Brezza ZDi Plus AMT",2021,"Diesel",4500,"887500.00"
"28","Audi","Audi Q5 2.0 TDI",2014,"Diesel",175900,"2013333.33"
"29","Honda","Honda City V MT",2021,"Petrol",14500,"815000.00"
"30","Tata","Tata Tigor 1.2 Revotron XT",2021,"Petrol",15000,"478333.00"
"31","Audi","Audi A6 2.0 TDI  Design Edition",2016,"Diesel",50000,"1745000.00"
"32","Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Avantgarde",2015,"Diesel",33800,"1375000.00"
"33","Skoda","Skoda Superb Ambition 2.0 TDI CR AT",2014,"Diesel",130400,"600000.00"
"34","Toyota","Toyota Corolla Altis G AT",2019,"Petrol",50000,"900000.00"
"35","Toyota","Toyota Innova 2.5 G (Diesel) 7 Seater",2018,"Diesel",80000,"846999.90"
"36","Jeep","Jeep Compass 1.4 Sport Plus BSIV",2022,"Petrol",10000,"1400000.00"
"37","Mercedes-Benz","Mercedes-Benz E-Class E 200 CGI Elegance",2013,"Petrol",119000,"850000.00"
"38","Hyundai","Hyundai i10 Magna 1.1L",2017,"Petrol",60000,"262499.50"
"39","BMW","BMW 3 Series 320d Sport Line",2016,"Diesel",75800,"1550000.00"
"40","Audi","Audi Q7 35 TDI Quattro Premium",2012,"Diesel",78000,"1250000.00"
"41","Hyundai","Hyundai Elantra CRDi S",2015,"Diesel",40000,"637500.00"
"42","Mahindra","Mahindra Scorpio 1.99 S10",2017,"Diesel",50000,"760000.00"
"43","Honda","Honda City i DTEC V",2017,"Diesel",74000,"537500.00"
"44","Maruti","Maruti Wagon R VXI BS IV with ABS",2017,"Petrol",64000,"259999.50"
"45","Maruti","Maruti Wagon R VXI BS IV",2015,"Petrol",60000,"305344.79"
"46","Mahindra","Mahindra Scorpio LX",2012,"Diesel",120000,"493200.00"
"47","Hyundai","Hyundai Santro Xing GLS",2012,"Petrol",79000,"184857.14"
"48","Hyundai","Hyundai Grand i10 1.2 Kappa Asta",2022,"Petrol",15000,"510416.67"
"49","Maruti","Maruti Alto LXi",2009,"Petrol",80000,"123553.17"
"50","Maruti","Maruti Swift Dzire VDI Optional",2020,"Diesel",18500,"722500.00"
"51","Maruti","Maruti Eeco 5 Seater AC BSIV",2021,"Petrol",10200,"346222.22"
"52","Hyundai","Hyundai i20 Sportz 1.4 CRDi",2021,"Diesel",29000,"532500.00"
"53","Maruti","Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER",2021,"Petrol",28000,"310000.00"
"54","Maruti","Maruti Swift ZDi BSIV",2019,"Diesel",46000,"552500.00"
"55","Hyundai","Hyundai i20 2015-2017 Sportz Option 1.4 CRDi",2017,"Diesel",70000,"465000.00"
"56","Mahindra","Mahindra Jeep CL 500 MDI",1999,"Diesel",35000,"200000.00"
"57","Honda","Honda City i DTEC VX",2017,"Diesel",90000,"640000.00"
"58","Tata","Tata Indica DLS",2008,"Diesel",80000,"64500.00"
"59","Hyundai","Hyundai EON Magna Plus",2017,"Petrol",73300,"256874.83"
"60","Toyota","Toyota Etios GD",2017,"Diesel",92000,"433571.29"
"61","Chevrolet","Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII",2013,"Diesel",350000,"280000.00"
"62","Toyota","Toyota Corolla Altis Diesel D4DG",2014,"Diesel",230000,"300000.00"
"63","Mahindra","Mahindra Scorpio 1.99 S6 Plus",2020,"Diesel",60000,"735000.00"
"64","Tata","Tata Indigo Classic Dicor",2010,"Diesel",39000,"157500.00"
"65","Toyota","Toyota Innova 2.5 V Diesel 8-seater",2012,"Diesel",120000,"530000.00"
"66","Tata","Tata Indica Vista Quadrajet LS",2017,"Diesel",166000,"170714.14"
"67","Maruti","Maruti Swift 1.3 VXi",2009,"Petrol",110000,"165727.27"
"68","Ford","Ford EcoSport 1.5 Diesel Titanium BSIV",2020,"Diesel",35000,"830000.00"
"69","Maruti","Maruti Ciaz 1.3 Delta",2021,"Diesel",60000,"750000.00"
"70","Honda","Honda Civic 1.8 V AT",2010,"Petrol",54000,"225000.00"
"71","Hyundai","Hyundai i10 Sportz 1.2",2013,"Petrol",63000,"206300.00"
"72","Skoda","Skoda Rapid 1.5 TDI Elegance",2017,"Diesel",120000,"450000.00"
"73","Hyundai","Hyundai Getz GLS",2008,"Petrol",120000,"168750.00"
"74","Nissan","Nissan Terrano XL",2017,"Petrol",76000,"650000.00"
"75","Hyundai","Hyundai Grand i10 CRDi Sportz",2018,"Diesel",80000,"394166.50"
"76","Hyundai","Hyundai Elite i20 Diesel Era",2022,"Diesel",25000,"650000.00"
"77","Honda","Honda Amaze S i-VTEC",2019,"Petrol",11958,"495000.00"
"78","Honda","Honda Brio S MT",2018,"Petrol",20000,"306833.33"
"79","Hyundai","Hyundai Creta 1.6 SX Option",2020,"Petrol",9000,"1083333.33"
"80","Mercedes-Benz","Mercedes-Benz S-Class S 350d Connoisseurs Edition",2020,"Diesel",6500,"8150000.00"
"81","Mahindra","Mahindra XUV500 W8 2WD",2018,"Diesel",70000,"705136.36"
"82","Renault","Renault Duster 85PS Diesel RxL Optional",2016,"Diesel",120000,"490750.00"
